Global Company Key (Gvkey),Ticker Symbol,CIK Number,Company Name
29984,PLD,1045609,PROLOGIS INC
30098,IR,1699150,INGERSOLL RAND INC
30137,NKTR,906709,NEKTAR THERAPEUTICS
30293,ESS,920522,ESSEX PROPERTY TRUST
30490,AIV,922864,APARTMENT INVST & MGMT CO
30822,O,726728,REALTY INCOME CORP
30923,FTI,1681459,TECHNIPFMC PLC
30990,COF,927628,CAPITAL ONE FINANCIAL CORP
31587,DLTR,935703,DOLLAR TREE INC
31673,ABC,1140859,AMERISOURCEBERGEN CORP
31774,BHF,1685040,BRIGHTHOUSE FINANL INC
31846,DRI,940944,DARDEN RESTAURANTS INC
31887,RMD,943819,RESMED INC
34636,FOXA,1754301,FOX CORP
60900,DISH,1001082,DISH NETWORK CORP
61483,DVA,927066,DAVITA INC
61494,HSIC,1000228,HENRY SCHEIN INC
61567,EL,1001250,LAUDER (ESTEE) COS INC -CL A
61574,WAT,1000697,WATERS CORP
61591,NTAP,1002047,NETAPP INC
61676,CTXS,877890,CITRIX SYSTEMS INC
61739,HIG,874766,HARTFORD FINANCIAL SERVICES
62263,ALXN,899866,ALEXION PHARMACEUTICALS INC
62374,IRM,1020569,IRON MOUNTAIN INC
62689,TRV,86312,TRAVELERS COS INC
63080,ANSS,1013462,ANSYS INC
63501,ETFC,1015780,E TRADE FINANCIAL CORP
63527,SRCL,861878,STERICYCLE INC
63892,NOV,1021860,NATIONAL OILWELL VARCO INC
64166,DGX,1022079,QUEST DIAGNOSTICS INC
64410,KMX,1170010,CARMAX INC
64630,TTWO,946581,TAKE-TWO INTERACTIVE SFTWR
64768,AMZN,1018724,AMAZON.COM INC
64821,ARE,1035443,ALEXANDRIA R E EQUITIES INC
64853,QRVO,1604778,QORVO INC
64891,RL,1037038,RALPH LAUREN CORP
64925,BXP,1037540,BOSTON PROPERTIES INC
65290,SLG,1040971,SL GREEN REALTY CORP
65417,YUM,1041061,YUM BRANDS INC
65609,CHRW,1043277,C H ROBINSON WORLDWIDE INC
65772,MTD,1037646,METTLER-TOLEDO INTL INC
65886,AMG,1004434,AFFILIATED MANAGERS GRP INC
66065,URI,1067701,UNITED RENTALS INC
66368,VRSN,1014473,VERISIGN INC
66446,PWR,1050915,QUANTA SERVICES INC
100873,NLSN,1492633,NIELSEN HOLDINGS PLC
104432,NCLH,1513761,NORWEGIAN CRUISE LINE HLDGS
105365,AMT,1053507,AMERICAN TOWER CORP
110179,VTR,740260,VENTAS INC
110685,LLL,1039101,L3 TECHNOLOGIES INC
111864,CTSH,1058290,COGNIZANT TECH SOLUTIONS
112168,RSG,1060391,REPUBLIC SERVICES INC
113490,CCI,1051470,CROWN CASTLE INTL CORP
114524,EBAY,1065088,EBAY INC
114628,GS,886982,GOLDMAN SACHS GROUP INC
117768,NVDA,1045810,NVIDIA CORP
119314,BKNG,1075531,BOOKING HOLDINGS INC
121077,FFIV,1048695,F5 NETWORKS INC
121382,SBAC,1034054,SBA COMMUNICATIONS CORP
121718,JNPR,1043604,JUNIPER NETWORKS INC
122841,RHT,1087423,RED HAT INC
124434,BLK,1364742,BLACKROCK INC
125595,AKAM,1086222,AKAMAI TECHNOLOGIES INC
126136,CHTR,1091667,CHARTER COMMUNICATIONS INC
126296,EXPE,1324424,EXPEDIA GROUP INC
126554,A,1090872,AGILENT TECHNOLOGIES INC
128978,PKG,75677,PACKAGING CORP OF AMERICA
133366,EW,1099800,EDWARDS LIFESCIENCES CORP
133768,MET,1099219,METLIFE INC
135990,NRG,1013871,NRG ENERGY INC
136725,ISRG,1035267,INTUITIVE SURGICAL INC
138205,ILMN,1110803,ILLUMINA INC
138743,EQIX,1101239,EQUINIX INC
139665,MCO,1059556,MOODY'S CORP
140541,TPR,1116132,TAPESTRY INC
141384,ALGN,1097149,ALIGN TECHNOLOGY INC
141459,GRMN,1121788,GARMIN LTD
141913,GPN,1123360,GLOBAL PAYMENTS INC
142953,MDLZ,1103982,MONDELEZ INTERNATIONAL INC
143356,PRU,1137774,PRUDENTIAL FINANCIAL INC
143357,ACN,1467373,ACCENTURE PLC
143974,ADS,1101215,ALLIANCE DATA SYSTEMS CORP
144009,WLTW,1140536,WILLIS TOWERS WATSON PLC
144066,COL,1137411,ROCKWELL COLLINS
144559,ZBH,1136869,ZIMMER BIOMET HOLDINGS INC
145046,ANTM,1156039,ANTHEM INC
145552,CNC,1071739,CENTENE CORP
145701,PFG,1126328,PRINCIPAL FINANCIAL GRP INC
145977,AAP,1158449,ADVANCE AUTO PARTS INC
146017,AYI,1144215,ACUITY BRANDS INC
147579,NFLX,1065280,NETFLIX INC
148349,TDG,1260221,TRANSDIGM GROUP INC
149070,CME,1156375,CME GROUP INC
149318,WYNN,1174922,WYNN RESORTS LTD
149337,NDAQ,1120193,NASDAQ INC
150699,XEC,1168054,CIMAREX ENERGY CO
150937,STX,1137789,SEAGATE TECHNOLOGY PLC
155394,LKQ,1065696,LKQ CORP
157057,AIZ,1267238,ASSURANT INC
157855,CRM,1108524,SALESFORCE.COM INC
160225,MA,1141391,MASTERCARD INC
160329,GOOGL,1652044,ALPHABET INC
160479,EXR,1289490,EXTRA SPACE STORAGE INC
160991,DLR,1297996,DIGITAL REALTY TRUST INC
162129,MOS,1285785,MOSAIC CO
163610,ICE,1571949,INTERCONTINENTAL EXCHANGE
163946,CF,1324404,CF INDUSTRIES HOLDINGS INC
164296,DISCA,1437107,DISCOVERY INC
164708,AMP,820027,AMERIPRISE FINANCIAL INC
165914,CMG,1058090,CHIPOTLE MEXICAN GRILL INC
165993,FIS,1136893,FIDELITY NATIONAL INFO SVCS
170617,FB,1326801,FACEBOOK INC
170841,PSX,1534701,PHILLIPS 66
174729,WYND,1361658,WYNDHAM DESTINATIONS INC
175263,WU,1365135,WESTERN UNION CO
175319,HBI,1359841,HANESBRANDS INC
175955,IPGP,1111928,IPG PHOTONICS CORP
177267,TEL,1385157,TE CONNECTIVITY LTD
177376,DFS,1393612,DISCOVER FINANCIAL SVCS
177884,CXO,1358071,CONCHO RESOURCES INC
178507,MSCI,1408198,MSCI INC
178704,ULTA,1403568,ULTA BEAUTY INC
179437,AWK,1410636,AMERICAN WATER WORKS CO INC
179534,V,1403161,VISA INC
180405,ATVI,718877,ACTIVISION BLIZZARD INC
180652,VRSK,1442145,VERISK ANALYTICS INC
180711,AVGO,1730168,BROADCOM INC
184500,CBOE,1374310,CBOE GLOBAL MARKETS INC
186310,HII,1501585,HUNTINGTON INGALLS IND INC
186989,MPC,1510295,MARATHON PETROLEUM CORP
188255,FBHS,1519751,FORTUNE BRANDS HOME & SECUR
189491,XYL,1524472,XYLEM INC
199356,TRIP,1526520,TRIPADVISOR INC
260774,CBRE,1138118,CBRE GROUP INC
294524,LYB,1489393,LYONDELLBASELL INDUSTRIES NV
316056,ALLE,1579241,ALLEGION PLC
